generation, eval_time, sort_tim, mutation_time, gen_time, avg_get_weight, avg_eval
0, 0.23832628399999978, 8.268000000200004e-06, 9.382699999993527e-05, 0.2384283789999999, 0.037135902999999804, 0.20117858499999985
1, 0.1903731529999999, 6.29200000012986e-06, 7.361999999977442e-05, 0.1904530649999998, 0.0011949209999997379, 0.18917077399999993
2, 0.15613518000000015, 7.799000000030532e-06, 6.547399999989878e-05, 0.15620845300000008, 0.0009596440000003703, 0.15516804800000017
3, 0.1855980210000001, 9.612999999575322e-06, 0.00023869800000042574, 0.18584633200000011, 0.0012000169999999422, 0.18438817500000004
4, 0.1931221540000001, 6.120000000109371e-06, 6.844599999977774e-05, 0.19319672, 0.001784342999999744, 0.19132912800000001
5, 0.13419546399999982, 7.56500000020921e-06, 6.43679999998703e-05, 0.1342673969999999, 0.0009815480000003873, 0.1332066329999999
6, 0.18898156500000018, 7.998000000064565e-06, 3.485100000011343e-05, 0.18902441400000036, 0.0012095699999998821, 0.187764037
7, 0.17049376500000024, 7.085999999656423e-06, 6.581600000021837e-05, 0.17056666700000012, 0.0011803409999999737, 0.16930647200000015
8, 0.1620821480000001, 7.984999999877118e-06, 8.078900000008105e-05, 0.16217092200000005, 0.0009064560000000554, 0.1611683020000001
9, 0.17736774199999994, 8.080999999826588e-06, 5.191099999990456e-05, 0.17742773399999967, 0.0012083840000003399, 0.17615092100000007
10, 0.17599849499999998, 6.3049999998732176e-06, 6.517999999999802e-05, 0.17606997999999985, 0.0012190930000000044, 0.174772033
11, 0.19167347600000006, 7.887999999844908e-06, 4.404899999999046e-05, 0.1917254129999999, 0.0009377860000001625, 0.19072858399999992
12, 0.1892761759999999, 7.743000000282052e-06, 5.167700000008324e-05, 0.18933559600000027, 0.0011954809999998872, 0.18807288499999997
13, 0.16299323199999982, 6.573000000287266e-06, 5.003099999978389e-05, 0.1630498359999999, 0.0011954410000001303, 0.16179055399999953
14, 0.189645144, 8.602000000301757e-06, 3.757100000001401e-05, 0.1896913170000003, 0.0009590390000004945, 0.18867837799999965
15, 0.1949062469999996, 1.0424000000064382e-05, 9.963599999984751e-05, 0.1950163069999995, 0.0012991300000004813, 0.19359687599999997
16, 0.14201758400000042, 7.017999999803237e-06, 6.469700000000245e-05, 0.14208929900000022, 0.0012395930000002053, 0.140770163
17, 0.1913461449999998, 7.733000000342827e-06, 3.5570999999734454e-05, 0.19138944899999988, 0.0010512640000008844, 0.1902874240000001
18, 0.1909771539999996, 8.162999999505871e-06, 7.838200000076512e-05, 0.19106369899999986, 0.0011764219999994552, 0.1897909929999999
19, 0.18898303000000016, 7.963999999915927e-06, 4.4446999999614434e-05, 0.1890354409999997, 0.001211890999999632, 0.18776051099999957
20, 0.22043642399999985, 1.0945000000539551e-05, 0.00010222299999984585, 0.22054959200000024, 0.0009895789999996296, 0.21943441500000027
21, 0.20845841600000004, 6.683999999701484e-06, 6.246399999998431e-05, 0.20852756399999972, 0.0013971250000004432, 0.20704894499999948
22, 0.20609245800000053, 1.2493999999918515e-05, 0.00012466300000024688, 0.2062296150000007, 0.001189468999999832, 0.20488444099999992
23, 0.19353314700000013, 8.900000000089392e-06, 3.566099999918748e-05, 0.1935777079999994, 0.0014761359999999613, 0.19204327999999915
24, 0.13654169500000002, 6.074999999938768e-06, 3.0511999999482953e-05, 0.13657828199999944, 0.001179057999999955, 0.1353552880000004
