block1, block2, block3, block4, block5, block6
0.0032174739999994983, 0.000437379000000071, 0.0008112369999997426, 6.350999999682472e-06, 5.179999999604945e-06, 7.759999993695033e-07
0.0007034509999996885, 0.0003296850000005236, 0.0007102269999998967, 2.7099999995172652e-06, 4.178000000187865e-06, 6.689999993980678e-07
0.0006034510000008098, 0.0003040089999997164, 0.0007007709999999889, 2.7129999997654863e-06, 4.129999999769041e-06, 6.719999996462889e-07
0.0006412460000007059, 0.0003075409999997447, 0.0007061049999999014, 2.6070000007649696e-06, 4.1800000003533455e-06, 6.829999996682545e-07
0.0005976879999991525, 0.00026767100000046895, 0.0006633750000002436, 3.136999999320267e-06, 4.086999999763918e-06, 6.819999995855142e-07
0.0006124510000002914, 0.0002790570000001935, 0.0006704549999998477, 2.684000000030551e-06, 4.01299999985838e-06, 6.660000000380251e-07
0.0006061260000000956, 0.0003207259999999934, 0.0007992920000008397, 2.7859999995882845e-06, 4.377999999860549e-06, 7.059999997949262e-07
0.0005678940000004573, 0.0005130470000000997, 0.0010523999999998424, 3.1800000002135675e-06, 4.4030000001527014e-06, 7.399999999435636e-07
0.000913204999999806, 0.0005557950000003586, 0.0011155389999997212, 3.980999999875223e-06, 4.4930000004939075e-06, 8.160000000145828e-07
0.0006736890000000884, 0.00043966900000036446, 0.0014557010000002535, 3.398999999681962e-06, 4.312999999811495e-06, 5.740000004195167e-07
0.0008387719999998211, 0.0004711100000003299, 0.0008719419999998479, 2.753000000410566e-06, 4.1470000002874485e-06, 6.899999993592587e-07
0.0005976509999996438, 0.00041871100000001604, 0.0008194330000002026, 2.8080000005203942e-06, 4.206000000728238e-06, 6.699999994808081e-07
0.0005977200000000238, 0.00040052599999995664, 0.0008398459999998664, 2.74100000030586e-06, 4.217999999944766e-06, 6.660000000380251e-07
0.0006493790000003941, 0.0004019499999996512, 0.0008104270000002245, 2.892000000365158e-06, 4.541000000024553e-06, 6.78999999337293e-07
0.0006057480000007942, 0.00035501799999959616, 0.0007579099999999173, 2.7459999998313833e-06, 4.112000000056071e-06, 6.730000006172077e-07
0.0006027639999999224, 0.0003663810000000822, 0.0007870340000000198, 2.647000000521871e-06, 4.0690000000509485e-06, 6.99000000103922e-07
0.0006363419999999564, 0.00036119800000022906, 0.0007781559999999743, 2.774999999566319e-06, 4.0329999997368304e-06, 6.739999998117696e-07
0.0006116019999993227, 0.0004302999999996615, 0.000840659000000521, 2.9059999997471664e-06, 4.082000000238395e-06, 6.86999999999216e-07
0.0006496939999998119, 0.0005111160000002002, 0.0009402259999999885, 3.4309999996651186e-06, 4.228999999966732e-06, 6.639999998725443e-07
0.0006626839999999135, 0.00039017000000018953, 0.0007883250000002562, 2.6700000006485425e-06, 4.16900000033138e-06, 6.670000001207654e-07
0.0006302250000000953, 0.0003663000000004857, 0.0007855420000000279, 2.693000000775214e-06, 4.17000000041412e-06, 6.460000001595745e-07
0.0005519689999999855, 0.0003562509999994745, 0.0007640710000007545, 2.636999999694467e-06, 4.176000000022384e-06, 6.619999997070636e-07
0.0006126049999997107, 0.00035484299999932745, 0.0007749629999995733, 2.591999999523864e-06, 4.155000000061193e-06, 6.639999998725443e-07
0.0006147770000000108, 0.00036466400000012555, 0.0007872500000001281, 2.673000000008585e-06, 4.234999999574995e-06, 6.730000006172077e-07
0.0006539439999997398, 0.00036760099999977314, 0.0007773560000003954, 2.5530000007378817e-06, 4.097000000591322e-06, 6.680000002035058e-07
0.0006434249999998087, 0.0003725049999996344, 0.0008126790000000383, 2.657999999655658e-06, 4.150999999730232e-06, 6.53999999933319e-07
0.0006145119999994009, 0.0004365779999995212, 0.0008129190000003561, 2.7160000000137074e-06, 4.187999999238912e-06, 6.649999999552847e-07
0.0006281899999995844, 0.0004144629999993654, 0.0008222599999996305, 2.6970000002179972e-06, 4.251999999205225e-06, 6.570000001815401e-07
0.0006437269999999273, 0.0004188400000000314, 0.0008590320000001483, 2.7219999996219713e-06, 4.0690000000509485e-06, 6.619999997070636e-07
0.0006535239999996278, 0.0005712559999997424, 0.0008627130000000705, 2.931000000039319e-06, 4.2340000003804334e-06, 6.720000005344673e-07
0.0006873089999999138, 0.00036697600000046293, 0.0007773540000002299, 2.7640000004325316e-06, 4.006000000167376e-06, 6.62000000595242e-07
0.0006484679999996246, 0.0003644650000005356, 0.0007974570000000014, 2.690000000526993e-06, 4.24800000065062e-06, 6.719999996462889e-07
0.0006481969999994064, 0.00040597699999977976, 0.0008303650000005547, 2.6520000000473942e-06, 4.157000000226674e-06, 6.839999997509949e-07
0.0006459039999997529, 0.0003893829999999099, 0.0007787499999993841, 2.684000000030551e-06, 4.210999999365583e-06, 6.570000001815401e-07
0.000628800000000318, 0.0003660099999995836, 0.0007727099999996767, 2.7360000007803364e-06, 4.165000000000418e-06, 6.50000000490536e-07
0.0006644949999996541, 0.0003677020000001363, 0.0007716219999993612, 2.706000000074482e-06, 4.131999999934521e-06, 6.739999998117696e-07
0.0006621689999999347, 0.00036882599999987775, 0.0007678679999996163, 2.6970000002179972e-06, 4.033999999819571e-06, 6.489999995196172e-07
