generation, top_fitness
0, 0.042555621636798054
1, -0.020254081757723443
2, 0.019436919889275168
3, -0.09602465105145178
4, 0.15317633740592757
5, -0.044238541487461744
6, -0.04031357922054908
7, -0.05114834793669003
8, -0.02720480937766624
9, -0.02142721169155164
10, 0.0440350786629455
11, 0.0034181361592297206
12, -0.031283301947712915
13, -0.02945131405183189
14, -0.18457026560806716
15, -2.320077364961759e-06
16, 0.1937939277840181
17, 0.0016406358249088453
18, 0.10341450661941536
19, 0.010518352756838153
20, 0.034992441039743555
21, -0.1400186599995314
22, 0.0482074187710584
23, 0.027804183661227333
24, 0.0751314583236182
25, 0.020341357651605278
26, 0.0351725181028307
27, 0.08885889021541331
28, 0.12372126434364164
29, 0.037533024133447716
30, 0.059177933629595045
31, 0.012197727117506937
32, 0.17269838293307932
33, 0.23925072798655034
34, -0.1887790823059954
35, 0.06087959006302248
36, -0.05849728062880253
37, 0.023591962464064645
38, -0.023029622526808114
39, 0.06291156597064
40, 0.034364716578890134
41, 0.23521346288531325
42, -0.12026423135586792
43, -0.10769076369117984
44, -0.05077663213088832
45, -0.035889521591479234
46, -0.05160719779631249
47, -0.1374921998683151
48, -0.21391615954089754
49, 0.12278635791846282
50, -0.07000327857988478
51, -0.23697686189242634
52, -0.02786731236675984
53, 0.2835416392074316
54, -0.10107010016804356
55, -0.043789557243302954
56, -0.02104798437588041
57, -0.04551664579437153
58, -0.04810625757617125
59, 0.24010091953928137
60, -0.053907433146002715
61, -0.03568160956509485
62, 0.02278749860438268
63, -0.1232850609004131
64, 0.05034218667047556
65, -0.04523647736259866
66, -0.04713091189209341
67, -0.013632686431624233
68, -0.06690492323741179
69, -0.04201743588039233
70, 0.021839465388926737
71, -0.008714979240432533
72, 0.28220291194807856
73, 0.010824710508182603
74, -0.05654407677018529
75, -0.03134941508419386
76, 0.025977469920199437
77, 0.06286998513411497
78, -0.00032536668113320735
79, -0.34825221983536075
80, -0.0048471321634817625
81, -0.048561838056509744
82, -0.06631656066397437
83, -0.06484235655990493
84, -0.051950507835764693
85, 0.055219097331557596
86, -0.2617908569165269
87, -0.12071633640688315
88, 0.005301637546808252
89, 0.006702483642253792
90, -0.18695754933012723
91, 0.10789938159312795
92, 0.0021171874632905153
93, -0.09144868649780717
94, -0.1390631023017283
95, 0.019414076051089434
96, 0.05723587726648936
97, -0.07211066380770272
98, 0.057675822079556106
99, 0.04218378779515235
100, -0.10699267492393201
101, -0.06934938561259255
102, 0.013150628783614088
103, -0.041866368200973995
104, -0.02290984401677278
105, -0.03410483308059462
106, -0.06685500917099607
107, -0.058844697945398636
108, -0.1415910713830732
109, 0.15116381680425786
110, -0.22796258820446966
111, 0.14525523638918952
112, -0.20920889683435231
113, -0.15773416250943795
114, -0.04282014891126208
115, 0.040717357303825745
116, -0.15205720912402781
117, -0.22455191110410921
118, -0.06604187454906876
119, -0.1766638718198031
120, -0.26441686615255267
121, 0.03562936598050744
122, -0.10655901348058414
123, -0.05592645942189256
124, 0.04757757736096431
125, -0.06413391808751492
126, -0.24065730254095596
127, -0.010661907015470215
128, -0.11117579206430975
129, -0.22922484120981426
130, -0.14069381044403856
131, -0.15956257500490892
132, -0.06837174854865782
133, -0.06634243776865452
134, -0.0641982541185229
135, -0.12340373332023383
136, -0.16175422862868802
137, -0.2549509055586506
138, -0.1295723504796516
139, -0.0683758088657252
140, -0.09823935775609505
141, 0.1331277654285208
142, -0.08535266510680631
143, -0.06661994965733489
144, -0.16289372554868647
145, -0.27081811396415867
146, -0.045208169935968476
147, -0.23930102156834537
148, -0.07645729621569844
149, 0.02386305606263617
150, -0.09838146312156144
151, -0.16238747469915957
152, -0.05905411302710186
153, -0.1586314506456564
154, -0.10365192090057504
155, -0.241485554502965
156, 0.16444144001060818
157, -0.1539600433927159
158, -0.04110772322142173
159, -0.048700975067825544
160, -0.23452406296807
161, -0.15791405029991543
162, -0.10473121481938145
163, -0.13396361434880477
164, -0.03401384281409016
165, -0.07711411453948745
166, -0.061368319568338416
167, -0.08719742729160648
168, -0.2350079346253584
169, -0.18491504367749562
170, -0.018066891855666026
171, 0.02528105813099544
172, -0.16536496655843352
173, -0.0677667814572563
174, -0.11937451068432499
175, -0.11617391723679607
176, -0.2023831835381297
177, -0.012448732470016443
178, -0.006509440824928317
179, 0.14667582330243562
180, 0.13439453425647155
181, 0.03612721368926058
182, 0.11025161478632532
183, 0.21883657333522005
184, -0.038484897555178664
185, 0.14959376439565036
186, -0.040541722009719845
187, -0.0812501827654806
188, -0.05249303051915646
189, 0.09923402652885492
190, -0.1589425198612206
191, 0.052591983730699954
192, -0.12592004176548885
193, -0.16196710480104934
194, -0.05235699483763375
195, -0.0550313141213004
196, 0.26146269330640887
197, 0.055404594205447036
198, -0.10942989800423605
199, 0.19149788849048743
